[#|2013-08-29T14:01:10.761+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.Software] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.763+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.Device] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.763+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.Facture] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.764+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.CUser] registered to be processed by weaver.|#]

[#|2013-08-29T14:01:10.764+0200|FINER|glassfish3.1.2|org.eclipse.persistence.session.file:/opt/glassfish3/glassfish/domains/administration/applications/AdministrationEAR/AdministrationEJB_jar/_AdministrationEJBPU.weaver|_ThreadID=25;_ThreadName=Thread-2;ClassName=null;MethodName=null;|Class [entity.TUser] registered to be processed by weaver.|#]

